Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross,tmdb_rating,tmdb_genres
Mar 11,Wednesday,70,"$6,239,345",-32.5%,+8.4%,19,Hoppers,"$2,880,182",7.732,"['Animation', 'Family', 'Science Fiction', 'Comedy']"
Mar 10,Tuesday,69,"$9,245,489",+54.5%,-0.9%,19,Hoppers,"$4,469,034",7.732,"['Animation', 'Family', 'Science Fiction', 'Comedy']"
Mar 9,Monday,68,"$5,984,826",-75%,-5.4%,19,Hoppers,"$2,710,962",7.732,"['Animation', 'Family', 'Science Fiction', 'Comedy']"
Mar 8,Sunday,67,"$23,912,764",-35.8%,+0.3%,38,Hoppers,"$12,945,148",7.732,"['Animation', 'Family', 'Science Fiction', 'Comedy']"
Mar 7,Saturday,66,"$37,253,136",+41.1%,-2.1%,38,Hoppers,"$18,864,597",7.732,"['Animation', 'Family', 'Science Fiction', 'Comedy']"
Mar 6,Friday,65,"$26,399,959",+455.3%,-35.5%,38,Hoppers,"$13,540,056",7.732,"['Animation', 'Family', 'Science Fiction', 'Comedy']"
Mar 5,Thursday,64,"$4,754,532",-17.4%,+18.1%,47,Scream 7,"$2,122,171",5.9,"['Horror', 'Mystery', 'Crime']"
Mar 4,Wednesday,63,"$5,754,742",-38.3%,+25.8%,47,Scream 7,"$2,572,746",5.9,"['Horror', 'Mystery', 'Crime']"
Mar 3,Tuesday,62,"$9,325,286",+47.5%,+24.5%,47,Scream 7,"$4,395,844",5.9,"['Horror', 'Mystery', 'Crime']"
Mar 2,Monday,61,"$6,323,269",-73.5%,+45%,47,Scream 7,"$3,368,227",5.9,"['Horror', 'Mystery', 'Crime']"
Mar 1,Sunday,60,"$23,852,569",-37.3%,+50.9%,52,Scream 7,"$12,607,979",5.9,"['Horror', 'Mystery', 'Crime']"
Feb 28,Saturday,59,"$38,049,085",-7%,+46%,51,Scream 7,"$21,655,431",5.9,"['Horror', 'Mystery', 'Crime']"
Feb 27,Friday,58,"$40,918,249",+916.6%,+104%,51,Scream 7,"$29,351,762",5.9,"['Horror', 'Mystery', 'Crime']"
Feb 26,Thursday,57,"$4,024,987",-12%,-40.1%,52,Wuthering Heights,"$1,118,547",6.387,"['Romance', 'Drama']"
Feb 25,Wednesday,56,"$4,573,351",-38.9%,-33.9%,52,Wuthering Heights,"$1,304,543",6.387,"['Romance', 'Drama']"
Feb 24,Tuesday,55,"$7,490,555",+71.8%,-31.6%,53,Wuthering Heights,"$1,980,061",6.387,"['Romance', 'Drama']"
Feb 23,Monday,54,"$4,359,956",-72.4%,-77.8%,53,Wuthering Heights,"$1,177,554",6.387,"['Romance', 'Drama']"
Feb 22,Sunday,53,"$15,802,239",-39.4%,-44.1%,55,GOAT,"$4,961,563",7.5,"['Animation', 'Comedy', 'Family']"
Feb 21,Saturday,52,"$26,057,981",+29.9%,-46.6%,55,GOAT,"$8,031,150",7.5,"['Animation', 'Comedy', 'Family']"
Feb 20,Friday,51,"$20,062,376",+198.3%,-31.1%,55,Wuthering Heights,"$4,680,012",6.387,"['Romance', 'Drama']"
Feb 19,Thursday,50,"$6,724,558",-2.8%,+121.4%,50,Wuthering Heights,"$2,410,187",6.387,"['Romance', 'Drama']"
Feb 18,Wednesday,49,"$6,917,009",-36.8%,+79.2%,50,Wuthering Heights,"$2,398,743",6.387,"['Romance', 'Drama']"
Feb 17,Tuesday,48,"$10,947,079",-44.2%,+84.1%,51,Wuthering Heights,"$3,501,448",6.387,"['Romance', 'Drama']"
"Feb 16
Presidents' Day",Monday,47,"$19,625,550",-30.5%,+354.2%,55,GOAT,"$7,915,756",7.5,"['Animation', 'Comedy', 'Family']"
