Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Pegasus 3,"$531,196,440","$813,849",0.2%,"$530,382,591",99.8%
2,Wuthering Heights,"$220,162,077","$80,262,077",36.5%,"$139,900,000",63.5%
3,Blades of the Guardians,"$168,412,474","$1,512,474",0.9%,"$166,900,000",99.1%
4,Scare Out,"$160,000,000",-,-,"$160,000,000",100%
5,Scream 7,"$153,374,305","$98,197,102",64%,"$55,177,203",36%
6,GOAT,"$148,355,936","$85,855,936",57.9%,"$62,500,000",42.1%
7,Boonie Bears: The Hidden Protector,"$139,300,000",-,-,"$139,300,000",100%
8,Hoppers,"$100,273,660","$58,300,900",58.1%,"$41,972,760",41.9%
9,Send Help,"$92,430,210","$63,317,781",68.5%,"$29,112,429",31.5%
10,The Man Who Lives with the King,"$74,663,770",-,-,"$74,663,770",100%
11,Crime 101,"$65,821,908","$34,421,908",52.3%,"$31,400,000",47.7%
12,28 Years Later: The Bone Temple,"$57,850,660","$25,147,583",43.5%,"$32,703,077",56.5%
13,Mercy,"$54,310,041","$24,390,303",44.9%,"$29,919,738",55.1%
14,Iron Lung,"$49,986,061","$40,851,941",81.7%,"$9,134,120",18.3%
15,Return to Silent Hill,"$47,372,051","$5,544,971",11.7%,"$41,827,080",88.3%
16,Greenland 2: Migration,"$44,474,830","$17,770,308",40%,"$26,704,522",60%
17,Marsupilami,"$43,300,884",-,-,"$43,300,884",100%
18,Shelter,"$42,105,541","$12,805,541",30.4%,"$29,300,000",69.6%
19,Primate,"$41,562,111","$25,635,665",61.7%,"$15,926,446",38.3%
20,Night King,"$26,700,000",-,-,"$26,700,000",100%
21,Solo Mio,"$25,464,389","$25,289,357",99.3%,"$175,032",0.7%
22,Skazka o tsare Saltane,"$23,889,822",-,-,"$23,889,822",100%
23,Stray Kids: The dominATE Experience,"$23,465,818","$7,232,818",30.8%,"$16,233,000",69.2%
24,Until We Meet Again,"$22,147,142",-,-,"$22,147,142",100%
25,Extrawurst,"$21,927,663",-,-,"$21,927,663",100%
26,EPiC: Elvis Presley in Concert,"$21,695,617","$11,803,617",54.4%,"$9,892,000",45.6%
27,The Bride!,"$17,324,766","$9,224,766",53.2%,"$8,100,000",46.8%
28,I Can Only Imagine 2,"$16,911,477","$16,903,388",100%,"$8,089",<0.1%
