Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Avatar: The Way of Water,2320631329,684075767,1636555562,2022.csv,2022,0.2947800275086263,0.7052199724913737
2,Ne Zha 2,2260176370,23308176,2236868194,2025.csv,2025,0.010312547423013718,0.9896874525769863
3,Spider-Man: No Way Home,1910982770,804793477,1106189293,2021.csv,2021,0.4211411477038069,0.5788588522961932
4,Zootopia 2,1866361674,427843884,1438517790,2025.csv,2025,0.2292395359164453,0.7707604640835547
5,Inside Out 2,1698863816,652980194,1045883622,2024.csv,2024,0.3843628829163314,0.6156371170836685
6,Top Gun: Maverick,1495696292,718732821,776963471,2022.csv,2022,0.48053393248634196,0.5194660675136581
7,Avatar: Fire and Ash,1485065497,403405617,1081659880,2025.csv,2025,0.27164163319053936,0.7283583668094606
8,Barbie,1447138421,636238421,810900000,2023.csv,2023,0.43965277389314783,0.5603472261068522
9,The Super Mario Bros. Movie,1360879735,574934330,785945405,2023.csv,2023,0.4224725486120932,0.5775274513879068
10,Deadpool & Wolverine,1338073645,636745858,701327787,2024.csv,2024,0.47586757304378413,0.5241324269562159
11,Moana 2,1059242164,460405297,598836867,2024.csv,2024,0.43465537215907124,0.5653446278409288
12,Lilo & Stitch,1038027526,423778855,614248671,2025.csv,2025,0.40825396666793207,0.5917460333320679
13,Jurassic World: Dominion,1001978080,376851080,625127000,2022.csv,2022,0.3761071100477567,0.6238928899522432
14,Oppenheimer,975811333,330078895,645732438,2023.csv,2023,0.33826097713501346,0.6617390228649865
15,Despicable Me 4,972021410,361004205,611017205,2024.csv,2024,0.37139532245488294,0.6286046775451171
16,A Minecraft Movie,961187780,424087780,537100000,2025.csv,2025,0.4412122051738943,0.5587877948261056
17,Doctor Strange in the Multiverse of Madness,955775804,411331607,544444197,2022.csv,2022,0.43036411392561263,0.5696358860743874
18,Minions: The Rise of Gru,940482695,370549695,569933000,2022.csv,2022,0.3939994823615548,0.6060005176384452
19,The Battle at Lake Changjin,902548476,342411,902206065,2021.csv,2021,0.0003793823923093079,0.9996206176076907
20,Jurassic World: Rebirth,869146189,339640400,529505789,2025.csv,2025,0.39077476758055485,0.6092252324194452
21,Black Panther: Wakanda Forever,859208836,453829060,405379776,2022.csv,2022,0.5281941257875984,0.4718058742124016
22,Guardians of the Galaxy Vol. 3,845555777,358995815,486559962,2023.csv,2023,0.4245678697550901,0.5754321302449099
